STATUS | wrapper  | 2018/04/03 01:25:34 | Base configuration file is /usr/local/hpe/oo/central/conf/central-wrapper.conf
INFO   | jvm 1    | 2018/04/03 01:25:39 | INFO: Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2018/04/03 01:25:41 | Apr 03, 2018 1:25:41 AM org.apache.catalina.core.ApplicationContext log
INFO   | jvm 1    | 2018/04/03 01:25:41 | INFO: Initializing Spring FrameworkServlet 'rest'
INFO   | jvm 1    | 2018/04/03 01:25:42 | Apr 03, 2018 1:25:42 AM org.apache.catalina.startup.HostConfig deployWAR
INFO   | jvm 1    | 2018/04/03 01:25:42 | INFO: Deployment of web application archive /usr/local/hpe/oo/central/tomcat/webapps/PAS.war has finished in 6,930 ms
INFO   | jvm 1    | 2018/04/03 01:25:42 | Apr 03, 2018 1:25:42 AM org.apache.catalina.startup.HostConfig deployWAR
INFO   | jvm 1    | 2018/04/03 01:25:42 | INFO: Deploying web application archive /usr/local/hpe/oo/central/tomcat/webapps/oo-central-online-help.war
INFO   | jvm 1    | 2018/04/03 01:25:43 | Apr 03, 2018 1:25:43 AM org.apache.jasper.servlet.TldScanner scanJars
INFO   | jvm 1    | 2018/04/03 01:25:43 | INFO: At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
INFO   | jvm 1    | 2018/04/03 01:25:43 | Apr 03, 2018 1:25:43 AM org.apache.catalina.startup.HostConfig deployWAR
INFO   | jvm 1    | 2018/04/03 01:25:43 | INFO: Deployment of web application archive /usr/local/hpe/oo/central/tomcat/webapps/oo-central-online-help.war has finished in 851 ms
INFO   | jvm 1    | 2018/04/03 01:25:43 | Apr 03, 2018 1:25:43 AM org.apache.catalina.startup.HostConfig deployWAR
INFO   | jvm 1    | 2018/04/03 01:25:43 | INFO: Deploying web application archive /usr/local/hpe/oo/central/tomcat/webapps/oo.war
INFO   | jvm 1    | 2018/04/03 01:25:53 | Apr 03, 2018 1:25:53 AM org.apache.jasper.servlet.TldScanner scanJars
INFO   | jvm 1    | 2018/04/03 01:25:53 | INFO: At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
INFO   | jvm 1    | 2018/04/03 01:25:53 | Apr 03, 2018 1:25:53 AM org.apache.catalina.core.ApplicationContext log
INFO   | jvm 1    | 2018/04/03 01:25:53 | INFO: No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2018/04/03 01:25:54 | INFO 4/3/18 1:25 AM: liquibase: Successfully acquired change log lock
INFO   | jvm 1    | 2018/04/03 01:25:55 | INFO 4/3/18 1:25 AM: liquibase: Reading from public.databasechangelog
INFO   | jvm 1    | 2018/04/03 01:25:56 | INFO 4/3/18 1:25 AM: liquibase: META-INF/database/root.changes.xml: META-INF/database/central-halva.changes.xml::add sourcedata_mod to OO_DEPLOYED_ENTITIES_AUD on mssql::central: Continuing past: META-INF/database/central-halva.changes.xml::add sourcedata_mod to OO_DEPLOYED_ENTITIES_AUD on mssql::central despite precondition failure due to onFail='CONTINUE': 
INFO   | jvm 1    | 2018/04/03 01:25:56 |           META-INF/database/root.changes.xml : DBMS Precondition failed: expected mssql, got postgresql
INFO   | jvm 1    | 2018/04/03 01:25:56 | 
INFO   | jvm 1    | 2018/04/03 01:25:56 | INFO 4/3/18 1:25 AM: liquibase: META-INF/database/root.changes.xml: META-INF/database/central-oo1020.changes.xml::add sourceFile_MOD to OO_DEPLOYED_ENTITIES_AUD on MSSQL::central: Continuing past: META-INF/database/central-oo1020.changes.xml::add sourceFile_MOD to OO_DEPLOYED_ENTITIES_AUD on MSSQL::central despite precondition failure due to onFail='CONTINUE': 
INFO   | jvm 1    | 2018/04/03 01:25:56 |           META-INF/database/root.changes.xml : DBMS Precondition failed: expected mssql, got postgresql
INFO   | jvm 1    | 2018/04/03 01:25:56 | 
INFO   | jvm 1    | 2018/04/03 01:25:56 | INFO 4/3/18 1:25 AM: liquibase: META-INF/database/root.changes.xml: META-INF/database/engine-oo1020.changes.xml::create OO_DEBUGGER_EVENTS_GENERATOR for MSSQL and MySQL::engine: Continuing past: META-INF/database/engine-oo1020.changes.xml::create OO_DEBUGGER_EVENTS_GENERATOR for MSSQL and MySQL::engine despite precondition failure due to onFail='CONTINUE': 
INFO   | jvm 1    | 2018/04/03 01:25:56 |           META-INF/database/root.changes.xml : DBMS Precondition failed: expected mssql, got postgresql
INFO   | jvm 1    | 2018/04/03 01:25:56 |           META-INF/database/root.changes.xml : DBMS Precondition failed: expected mysql, got postgresql
INFO   | jvm 1    | 2018/04/03 01:25:56 | 
INFO   | jvm 1    | 2018/04/03 01:25:56 | INFO 4/3/18 1:25 AM: liquibase: META-INF/database/root.changes.xml: META-INF/database/engine-oo1020.changes.xml::upgrade OO_EXECUTION_BOUND_INPUTS on h2::engine: Continuing past: META-INF/database/engine-oo1020.changes.xml::upgrade OO_EXECUTION_BOUND_INPUTS on h2::engine despite precondition failure due to onFail='CONTINUE': 
INFO   | jvm 1    | 2018/04/03 01:25:56 |           META-INF/database/root.changes.xml : DBMS Precondition failed: expected h2, got postgresql
INFO   | jvm 1    | 2018/04/03 01:25:56 | 
INFO   | jvm 1    | 2018/04/03 01:25:56 | INFO 4/3/18 1:25 AM: liquibase: META-INF/database/root.changes.xml: META-INF/database/engine-oo1020.changes.xml::upgrade OO_EXECUTION_BOUND_INPUTS on mysql::engine: Continuing past: META-INF/database/engine-oo1020.changes.xml::upgrade OO_EXECUTION_BOUND_INPUTS on mysql::engine despite precondition failure due to onFail='CONTINUE': 
INFO   | jvm 1    | 2018/04/03 01:25:56 |           META-INF/database/root.changes.xml : DBMS Precondition failed: expected mysql, got postgresql
INFO   | jvm 1    | 2018/04/03 01:25:56 | 
INFO   | jvm 1    | 2018/04/03 01:25:56 | INFO 4/3/18 1:25 AM: liquibase: META-INF/database/root.changes.xml: META-INF/database/engine-oo1020.changes.xml::adapt bound outputs tables for purging h2::engine: Continuing past: META-INF/database/engine-oo1020.changes.xml::adapt bound outputs tables for purging h2::engine despite precondition failure due to onFail='CONTINUE': 
INFO   | jvm 1    | 2018/04/03 01:25:56 |           META-INF/database/root.changes.xml : DBMS Precondition failed: expected h2, got postgresql
INFO   | jvm 1    | 2018/04/03 01:25:56 | 
INFO   | jvm 1    | 2018/04/03 01:25:56 | INFO 4/3/18 1:25 AM: liquibase: META-INF/database/root.changes.xml: META-INF/database/engine-oo1020.changes.xml::adapt bound outputs tables for purging MYSQL::engine: Continuing past: META-INF/database/engine-oo1020.changes.xml::adapt bound outputs tables for purging MYSQL::engine despite precondition failure due to onFail='CONTINUE': 
INFO   | jvm 1    | 2018/04/03 01:25:56 |           META-INF/database/root.changes.xml : DBMS Precondition failed: expected mysql, got postgresql
INFO   | jvm 1    | 2018/04/03 01:25:56 | 
INFO   | jvm 1    | 2018/04/03 01:25:56 | INFO 4/3/18 1:25 AM: liquibase: META-INF/database/root.changes.xml: META-INF/database/engine-oo1020.changes.xml::add indexing for execution_id column on oracle::engine: Continuing past: META-INF/database/engine-oo1020.changes.xml::add indexing for execution_id column on oracle::engine despite precondition failure due to onFail='CONTINUE': 
INFO   | jvm 1    | 2018/04/03 01:25:56 |           META-INF/database/root.changes.xml : DBMS Precondition failed: expected oracle, got postgresql
INFO   | jvm 1    | 2018/04/03 01:25:56 | 
INFO   | jvm 1    | 2018/04/03 01:25:56 | INFO 4/3/18 1:25 AM: liquibase: META-INF/database/root.changes.xml: META-INF/database/engine-oo1020.changes.xml::add indexing for execution_id column on mssql::engine: Continuing past: META-INF/database/engine-oo1020.changes.xml::add indexing for execution_id column on mssql::engine despite precondition failure due to onFail='CONTINUE': 
INFO   | jvm 1    | 2018/04/03 01:25:56 |           META-INF/database/root.changes.xml : DBMS Precondition failed: expected mssql, got postgresql
INFO   | jvm 1    | 2018/04/03 01:25:56 | 
INFO   | jvm 1    | 2018/04/03 01:25:56 | INFO 4/3/18 1:25 AM: liquibase: META-INF/database/root.changes.xml: META-INF/database/engine-oo1020.changes.xml::add indexing for execution_id column on mysql::engine: Continuing past: META-INF/database/engine-oo1020.changes.xml::add indexing for execution_id column on mysql::engine despite precondition failure due to onFail='CONTINUE': 
